doc_id,item,category,amount,price,discount
230624331,Area rug (5x7),Home Decor,3,79.99,50
230624331,Kitchen scale (digital),Kitchen Essentials,4,19.99,0
230624331,Microfiber cleaning cloths (pack of 12),Cleaning Supplies,2,9.99,40
230624332,"Vacuum storage bags (set of 4, large)",Storage and Organization,2,14.99,30
230624332,Throw pillows (set of 2),Home Decor,2,24.99,0
230624332,Dish soap (16 oz),Cleaning Supplies,5,2.99,0
230624332,Microfiber cleaning cloths (pack of 12),Cleaning Supplies,5,9.99,0
230624332,Vacuum cleaner (bagless),Cleaning Supplies,3,99.99,40
230624332,Queen-size bedsheet set (4 pieces),Bedding and Linens,1,49.99,0
230624332,"Storage bins (set of 6, plastic)",Storage and Organization,4,24.99,0
230624333,Electric kettle (1.7L),Kitchen Essentials,1,34.99,0
230624333,Under-bed storage containers (set of 2),Storage and Organization,1,24.99,30
230624333,Microfiber cleaning cloths (pack of 12),Cleaning Supplies,4,9.99,20
230624333,Duvet cover (queen-size),Bedding and Linens,3,39.99,10
230624334,"Pillow (2-pack, medium-firm)",Bedding and Linens,1,24.99,10
230624334,Hand towels (4-pack),Bedding and Linens,5,14.99,0
230624334,"Storage bins (set of 6, plastic)",Storage and Organization,1,24.99,10
230624334,Area rug (5x7),Home Decor,2,79.99,0
230624335,Area rug (5x7),Home Decor,5,79.99,10
230624335,"Closet organizer (hanging, 6 shelves)",Storage and Organization,2,39.99,0
230624335,Throw pillows (set of 2),Home Decor,5,24.99,10
230624336,Shower curtain (polyester),Bedding and Linens,5,19.99,30
230624336,10-piece cookware set,Kitchen Essentials,3,89.99,40
230624336,Queen-size bedsheet set (4 pieces),Bedding and Linens,1,49.99,10
230624336,"Cutting board (bamboo, large)",Kitchen Essentials,2,24.99,10
230624336,Under-bed storage containers (set of 2),Storage and Organization,2,24.99,50
230624336,Laundry detergent (64 loads),Cleaning Supplies,5,12.99,0
230624336,Mop and bucket set,Cleaning Supplies,3,24.99,10
230624336,Artificial plant (medium-sized),Home Decor,3,34.99,40
230624336,"Storage bins (set of 6, plastic)",Storage and Organization,1,24.99,20
230624337,Kitchen scale (digital),Kitchen Essentials,2,19.99,30
230624337,"Oven mitts (silicone, set of 2)",Kitchen Essentials,5,12.99,20
230624337,Laundry detergent (64 loads),Cleaning Supplies,2,12.99,50
230624337,Area rug (5x7),Home Decor,4,79.99,0
230624337,"Cutting board (bamboo, large)",Kitchen Essentials,1,24.99,30
230624337,Vacuum cleaner (bagless),Cleaning Supplies,1,99.99,0
230624337,"Pillow (2-pack, medium-firm)",Bedding and Linens,5,24.99,0
230624337,Microfiber cleaning cloths (pack of 12),Cleaning Supplies,5,9.99,0
230624337,"Closet organizer (hanging, 6 shelves)",Storage and Organization,1,39.99,0
230624338,Shower curtain (polyester),Bedding and Linens,1,19.99,0
230624339,Hand towels (4-pack),Bedding and Linens,2,14.99,10
230624339,Bath towel set (6 pieces),Bedding and Linens,3,29.99,10
230624339,"Pillow (2-pack, medium-firm)",Bedding and Linens,2,24.99,10
230624339,"Scented candles (3-pack, assorted scents)",Home Decor,4,14.99,0
2306243310,Shower curtain (polyester),Bedding and Linens,5,19.99,10
2306243310,Kitchen scale (digital),Kitchen Essentials,4,19.99,0
2306243310,Artificial plant (medium-sized),Home Decor,4,34.99,0
2306243310,Area rug (5x7),Home Decor,5,79.99,0
2306243310,"Wall clock (12-inch, silent)",Home Decor,4,29.99,0
2306243310,10-piece cookware set,Kitchen Essentials,1,89.99,50
