doc_id,item,category,amount,price,discount
230624311,Vacuum cleaner (bagless),Cleaning Supplies,4,99.99,10
230624311,All-purpose cleaner (32 oz),Cleaning Supplies,5,4.99,30
230624311,"Cutting board (bamboo, large)",Kitchen Essentials,5,24.99,30
230624311,Hand towels (4-pack),Bedding and Linens,4,14.99,0
230624311,Mop and bucket set,Cleaning Supplies,3,24.99,0
230624311,Laundry hamper (foldable),Storage and Organization,2,19.99,0
230624311,"Oven mitts (silicone, set of 2)",Kitchen Essentials,4,12.99,0
230624312,"Storage bins (set of 6, plastic)",Storage and Organization,3,24.99,30
230624312,"Shoe rack (10-tier, metal)",Storage and Organization,2,29.99,40
230624312,"Vacuum storage bags (set of 4, large)",Storage and Organization,5,14.99,0
230624312,Dish soap (16 oz),Cleaning Supplies,4,2.99,20
230624312,Duvet cover (queen-size),Bedding and Linens,4,39.99,10
230624312,Microfiber cleaning cloths (pack of 12),Cleaning Supplies,3,9.99,0
230624313,"Storage bins (set of 6, plastic)",Storage and Organization,5,24.99,50
230624313,Shower curtain (polyester),Bedding and Linens,4,19.99,0
230624314,Under-bed storage containers (set of 2),Storage and Organization,1,24.99,0
230624314,"Closet organizer (hanging, 6 shelves)",Storage and Organization,4,39.99,40
230624314,Laundry detergent (64 loads),Cleaning Supplies,1,12.99,0
230624314,"Vacuum storage bags (set of 4, large)",Storage and Organization,1,14.99,0
230624315,"Storage bins (set of 6, plastic)",Storage and Organization,3,24.99,30
230624315,Under-bed storage containers (set of 2),Storage and Organization,1,24.99,0
230624315,"Shoe rack (10-tier, metal)",Storage and Organization,4,29.99,0
230624315,"Wall clock (12-inch, silent)",Home Decor,1,29.99,0
230624315,Laundry detergent (64 loads),Cleaning Supplies,5,12.99,0
230624315,Hand towels (4-pack),Bedding and Linens,4,14.99,50
230624315,Electric kettle (1.7L),Kitchen Essentials,2,34.99,10
230624315,Vacuum cleaner (bagless),Cleaning Supplies,2,99.99,0
230624315,Kitchen scale (digital),Kitchen Essentials,4,19.99,10
230624316,Electric kettle (1.7L),Kitchen Essentials,4,34.99,0
230624317,"Pillow (2-pack, medium-firm)",Bedding and Linens,3,24.99,50
230624318,"Picture frames (set of 3, 8x10 inches)",Home Decor,5,19.99,0
230624319,"Oven mitts (silicone, set of 2)",Kitchen Essentials,3,12.99,20
230624319,10-piece cookware set,Kitchen Essentials,2,89.99,0
230624319,"Storage bins (set of 6, plastic)",Storage and Organization,4,24.99,10
230624319,"Closet organizer (hanging, 6 shelves)",Storage and Organization,3,39.99,0
230624319,Under-bed storage containers (set of 2),Storage and Organization,1,24.99,10
230624319,Laundry hamper (foldable),Storage and Organization,4,19.99,10
230624319,"Vacuum storage bags (set of 4, large)",Storage and Organization,2,14.99,0
230624319,Artificial plant (medium-sized),Home Decor,2,34.99,0
