doc_id,item,category,amount,price,discount
230624111,Area rug (5x7),Home Decor,5,79.99,10
230624111,"Scented candles (3-pack, assorted scents)",Home Decor,4,14.99,0
230624111,"Cutting board (bamboo, large)",Kitchen Essentials,3,24.99,30
230624111,Artificial plant (medium-sized),Home Decor,5,34.99,20
230624112,Laundry hamper (foldable),Storage and Organization,3,19.99,0
230624112,Duvet cover (queen-size),Bedding and Linens,2,39.99,20
230624112,"Vacuum storage bags (set of 4, large)",Storage and Organization,2,14.99,40
230624112,Electric kettle (1.7L),Kitchen Essentials,2,34.99,30
230624112,Dish soap (16 oz),Cleaning Supplies,1,2.99,0
230624112,"Scented candles (3-pack, assorted scents)",Home Decor,2,14.99,0
230624113,"Storage bins (set of 6, plastic)",Storage and Organization,1,24.99,20
230624113,"Pillow (2-pack, medium-firm)",Bedding and Linens,1,24.99,0
230624113,Microfiber cleaning cloths (pack of 12),Cleaning Supplies,4,9.99,50
230624113,"Cutting board (bamboo, large)",Kitchen Essentials,1,24.99,0
230624113,All-purpose cleaner (32 oz),Cleaning Supplies,2,4.99,0
230624113,Electric kettle (1.7L),Kitchen Essentials,2,34.99,0
230624113,10-piece cookware set,Kitchen Essentials,5,89.99,0
230624114,Duvet cover (queen-size),Bedding and Linens,4,39.99,20
230624114,"Picture frames (set of 3, 8x10 inches)",Home Decor,3,19.99,0
230624114,Electric kettle (1.7L),Kitchen Essentials,3,34.99,50
230624115,Mop and bucket set,Cleaning Supplies,5,24.99,0
230624115,Queen-size bedsheet set (4 pieces),Bedding and Linens,4,49.99,50
230624115,Artificial plant (medium-sized),Home Decor,3,34.99,40
230624116,"Vacuum storage bags (set of 4, large)",Storage and Organization,2,14.99,20
230624116,Artificial plant (medium-sized),Home Decor,1,34.99,0
230624116,Laundry detergent (64 loads),Cleaning Supplies,3,12.99,40
230624116,Kitchen scale (digital),Kitchen Essentials,2,19.99,40
230624116,Electric kettle (1.7L),Kitchen Essentials,3,34.99,0
230624116,"Wall clock (12-inch, silent)",Home Decor,5,29.99,20
230624116,Duvet cover (queen-size),Bedding and Linens,5,39.99,0
230624116,Vacuum cleaner (bagless),Cleaning Supplies,3,99.99,0
230624116,"Shoe rack (10-tier, metal)",Storage and Organization,2,29.99,10
230624117,"Oven mitts (silicone, set of 2)",Kitchen Essentials,1,12.99,0
230624117,Hand towels (4-pack),Bedding and Linens,2,14.99,10
230624117,"Pillow (2-pack, medium-firm)",Bedding and Linens,3,24.99,50
230624117,Vacuum cleaner (bagless),Cleaning Supplies,1,99.99,20
230624117,Artificial plant (medium-sized),Home Decor,5,34.99,0
230624117,"Cutting board (bamboo, large)",Kitchen Essentials,4,24.99,20
230624118,"Oven mitts (silicone, set of 2)",Kitchen Essentials,4,12.99,30
230624118,"Scented candles (3-pack, assorted scents)",Home Decor,3,14.99,50
230624118,Hand towels (4-pack),Bedding and Linens,5,14.99,0
230624118,Mop and bucket set,Cleaning Supplies,2,24.99,0
230624118,"Pillow (2-pack, medium-firm)",Bedding and Linens,2,24.99,0
230624118,Laundry hamper (foldable),Storage and Organization,1,19.99,0
230624119,"Wall clock (12-inch, silent)",Home Decor,1,29.99,30
230624119,All-purpose cleaner (32 oz),Cleaning Supplies,5,4.99,20
230624119,10-piece cookware set,Kitchen Essentials,4,89.99,10
230624119,Artificial plant (medium-sized),Home Decor,4,34.99,10
2306241110,Laundry detergent (64 loads),Cleaning Supplies,2,12.99,0
2306241110,Electric kettle (1.7L),Kitchen Essentials,1,34.99,10
2306241110,"Wall clock (12-inch, silent)",Home Decor,3,29.99,0
2306241110,"Vacuum storage bags (set of 4, large)",Storage and Organization,4,14.99,50
2306241110,"Oven mitts (silicone, set of 2)",Kitchen Essentials,2,12.99,50
2306241110,"Cutting board (bamboo, large)",Kitchen Essentials,1,24.99,0
2306241110,"Shoe rack (10-tier, metal)",Storage and Organization,2,29.99,30
2306241111,Under-bed storage containers (set of 2),Storage and Organization,2,24.99,0
2306241111,Bath towel set (6 pieces),Bedding and Linens,3,29.99,10
2306241112,Throw pillows (set of 2),Home Decor,3,24.99,20
2306241112,Bath towel set (6 pieces),Bedding and Linens,5,29.99,0
2306241112,Stainless steel knife set (6 pieces),Kitchen Essentials,2,49.99,0
2306241112,"Vacuum storage bags (set of 4, large)",Storage and Organization,1,14.99,0
2306241113,Duvet cover (queen-size),Bedding and Linens,3,39.99,0
2306241113,Dish soap (16 oz),Cleaning Supplies,5,2.99,40
2306241113,Bath towel set (6 pieces),Bedding and Linens,5,29.99,0
2306241113,"Wall clock (12-inch, silent)",Home Decor,4,29.99,0
2306241113,"Oven mitts (silicone, set of 2)",Kitchen Essentials,1,12.99,30
2306241113,Electric kettle (1.7L),Kitchen Essentials,4,34.99,30
2306241113,Queen-size bedsheet set (4 pieces),Bedding and Linens,4,49.99,10
2306241113,"Cutting board (bamboo, large)",Kitchen Essentials,2,24.99,40
